path,condition,folder,year,n_czi_files,acquired_by,cell_type,sex
../data/raw_data/aged/20191219PlaminOldSlide12exp20191209,aged,20191219PlaminOldSlide12exp20191209,2019,16,Microscopist 1,HSC,unknown
../data/raw_data/aged/20191220PlaminSlide12Oldexp20191209,aged,20191220PlaminSlide12Oldexp20191209,2019,3,Microscopist 1,HSC,unknown
../data/raw_data/aged/20191220Stag2OldSlide8exp20191209,aged,20191220Stag2OldSlide8exp20191209,2019,4,Microscopist 1,HSC,unknown
../data/raw_data/aged/20200130PlaminOld slide2exp200122,aged,20200130PlaminOld slide2exp200122,2020,6,Microscopist 1,HSC,unknown
../data/raw_data/aged/20200207PlaminOld slide2exp200122,aged,20200207PlaminOld slide2exp200122,2020,12,Microscopist 1,HSC,unknown
../data/raw_data/aged/20200212cdk8OldSlide620200122exp,aged,20200212cdk8OldSlide620200122exp,2020,21,Microscopist 1,HSC,unknown
../data/raw_data/aged/20201026expAged1,aged,20201026expAged1,2020,14,Microscopist 1,HSC,unknown
../data/raw_data/aged/20201026expAged2Untreated,aged,20201026expAged2Untreated,2020,4,Microscopist 1,HSC,unknown
../data/raw_data/aged/20201026expRhoAAF488Aged2untreated,aged,20201026expRhoAAF488Aged2untreated,2020,5,Microscopist 1,HSC,unknown
../data/raw_data/aged/20201119expAgedTAZaf488repeat,aged,20201119expAgedTAZaf488repeat,2020,10,Microscopist 1,HSC,unknown
../data/raw_data/aged/20201119expRhoAAF488AgedUntreatedRFPcellsSlide7,aged,20201119expRhoAAF488AgedUntreatedRFPcellsSlide7,2020,11,Microscopist 1,HSC,unknown
../data/raw_data/aged/20201218expAg1RhoAAF488_2,aged,20201218expAg1RhoAAF488_2,2020,9,Microscopist 1,HSC,unknown
../data/raw_data/aged/20201218expSlide11A2TazCy3,aged,20201218expSlide11A2TazCy3,2020,10,Microscopist 1,HSC,unknown
../data/raw_data/aged/20201218expSlide8A1TazCy3,aged,20201218expSlide8A1TazCy3,2020,12,Microscopist 1,HSC,unknown
../data/raw_data/aged/20210603AgLaminACIF20210621,aged,20210603AgLaminACIF20210621,2021,5,Microscopist 1,HSC,unknown
../data/raw_data/aged/20210603expAgLaminACAF488,aged,20210603expAgLaminACAF488,2021,6,Microscopist 1,HSC,unknown
../data/raw_data/aged/20230119exp_20230127_AgRhoA647PPL2A,aged,20230119exp_20230127_AgRhoA647PPL2A,2023,12,Microscopist 1,HSC,unknown
../data/raw_data/aged/20230208exp_20230315Ag_KLF4cy3,aged,20230208exp_20230315Ag_KLF4cy3,2023,4,Microscopist 1,HSC,unknown
../data/raw_data/aged/20230208exp_20230321Ag_KLF4cy3,aged,20230208exp_20230321Ag_KLF4cy3,2023,4,Microscopist 1,HSC,unknown
../data/raw_data/aged/20230208exp_20230322Ag_KLF4cy3,aged,20230208exp_20230322Ag_KLF4cy3,2023,3,Microscopist 1,HSC,unknown
../data/raw_data/aged/20230208exp_20230322_agRGPPLA2,aged,20230208exp_20230322_agRGPPLA2,2023,2,Microscopist 1,HSC,unknown
